sample_num,pile_id1,pile_id2,collector,coll_num,country,latitude,longitude,phyllotaxy,petiole_maxlen,petiole_minlen,small_leaf_len,small_leaf_wid,large_leaf_len,large_leaf_wid,apex_len,apex_wid,fert_leaf_len,fert_leaf_wid,pedicel_len,hyp_len,hyp_wid,calyxlobe_len,calyxlobe_wid,andr_len,cortube_dors_len,cortube_vent_len,cortube_narrow_wid,corolla_curling,anth_tub_len,anth_tip_wid,exsertion_len,flower_len
66,B. sodiroana,Intermediate,Luteyn,10893,Ecuador,0.83333,-78.08333,distichous,7,4,146,57,155,60,11,4,128,56,140,12,6.5,3.2,1.6,29.9,18,13.7,4,none,7.7,4.3,16.3,41.9
67,B. sodiroana,Intermediate,Luteyn,14342,Ecuador,-0.3,-78.71667,distichous,10,5,74,41,150,73,7,2.5,57,35,119,10.6,6.4,2.4,2.5,34.8,16.3,12,3.3,curl,9.1,3.5,22.7,45.4
68,B. sodiroana,Intermediate,Gentry,26647,Ecuador,0.892,-78.091,distichous,10,5,106,57,125,61,10,2,71,38,75,10.7,5,2.8,2.1,26.5,13.7,10.4,3.2,none,9.5,4.2,15.6,37.2
69,B. succulenta,B. succulenta,Stein,3303,Colombia,5.83333333,-75.73333333,distichous,7,3,38,13,52,21,5,2,48,18,106,6.7,5.9,13.7,2.7,37.9,16,11.7,3,curl,8.1,4,26.8,44.6
70,B. succulenta,B. succulenta,Stein,3369,Colombia,7.11666667,-75.46666667,distichous,8,4,57,29,104,35,10,2,55,23,85,6.9,5,10.6,2.2,36.8,13,9.9,3,scroll,7.4,3,26.5,43.7
71,B. succulenta,B. succulenta,Pennell,5151,Colombia,3.647143,-76.569333,distichous,7,3,79,31,124,41,6,2.5,80,32,120,7.7,6.1,7.3,1.5,36.6,12,9.2,3.5,curl,9.4,4,17.2,44.3
72,B. succulenta,B. succulenta,Pennell,5783,Colombia,3.654722,-76.566458,distichous,6,3,42,22,76,36,7,2,51,31,77,8.1,5.8,9.9,1.8,35.6,9,9.6,2.5,curl,9,3,24.2,43.7
73,B. succulenta,B. succulenta,Luteyn,10650,Colombia,5.66666667,-76.25,distichous,11,7,82,20,120,37,10,3,81,29,117,9.5,5.7,13,1.8,37.1,17,13.3,3.2,none,8.9,4,24.5,46.6
74,B. succulenta,B. succulenta,Pennell,10685,Colombia,5.318265,-75.783579,distichous,9,4,48,20,108,37,9,4,96,37,76,6.4,6.3,12,1.5,34.3,15,11.9,3,scroll,8.5,4,23.8,40.7
75,B. succulenta,B. succulenta,Luteyn,10750,Colombia,7.174951,-75.437286,distichous,7,4,55,17,99,30,8,1.5,60,23,88,9.4,5.5,11.6,2.4,36.8,16,8,3,curl,8.4,3,28.2,46.2
76,B. succulenta,B. succulenta,Luteyn,10761,Colombia,7.09185,-75.501842,distichous,15,10,69,26,113,49,14,2,87,29,64,10.5,5.7,5,1.8,34.2,11,7.9,3,none,7.9,3,26.8,44.7
77,B. succulenta,B. succulenta,Luteyn,10773,Colombia,7.074496,-75.498063,distichous,7,5,50,21,118,32,11,2,86,22,114,8.7,4.4,8.7,1.2,38.5,16,9.5,3.5,curl,8.9,3.5,28.2,47.2
78,B. succulenta,B. succulenta,Luteyn,12418,Colombia,7.086337,-75.486163,distichous,13,5,81,26,105,32,8,2.5,84,23,85,8,5.4,15.5,3,42.4,12,9.7,3.5,scroll,8.4,3,30.6,50.4
79,B. succulenta,B. succulenta,Luteyn,12420,Colombia,7.100886,-75.508672,distichous,8,5,120,40,151,54,9,2.5,87,34,93,7.1,5.2,13.5,1.9,37.9,14,8.4,2.5,scroll,9.5,3,28.9,45
80,B. succulenta,B. succulenta,Luteyn,12557,Colombia,3.46666667,-76.61666667,distichous,10,5,110,48,143,61,9,3,108,42,145,9.1,6.3,20.7,2.2,38.6,16,9.4,3.5,curl,8.9,4,28,47.7
81,B. succulenta,B. succulenta,Sigcha,28,Ecuador,0.0833,-79.0333,distichous,5,4,55,24,110,44,6,4,73,31,72,6.2,6.2,8.2,1.3,27.5,17,12.6,3,none,6.5,3,15,33.7
82,B. succulenta,B. succulenta,Muchhala,125,Ecuador,0.3239,-78.7431,distichous,5,4,79,34,89,38,6,2,89,34,52,6.8,4.4,6.6,0.6,22.3,14,11.4,2.5,none,4.1,2.5,11.2,29.1
83,B. succulenta,B. succulenta,Muchhala,128,Ecuador,-0.016,-78.6809,distichous,7,5,105,41,130,42,13,3,72,28,79,5.9,7.1,8.8,0.8,25.9,18,12.9,3,none,5.7,3.5,12.7,31.8
84,B. succulenta,B. succulenta,Muchhala,130,Ecuador,-0.016,-78.6809,distichous,8,6,84,39,89,42,7,2,78,38,101,8.3,6.1,12.8,0.9,24.5,14,12.8,2.5,none,4.6,2.5,11.5,32.8
85,B. succulenta,B. succulenta,Muchhala,447,Ecuador,-0.24833,-78.80333,distichous,6,4,99,45,110,50,5,3,70,33,87,7,7,7.6,0.8,25.1,17,9.6,3,none,5.5,3.5,15,25.1
86,B. succulenta,B. succulenta,Muchhala,454,Ecuador,-0.2433,-78.8058,distichous,6,5,56,29,79,33,6,3,46,31,65,4.3,5.5,8.3,1.7,25.1,17,11.2,3,none,6,3,15.6,29.4
87,B. succulenta,B. succulenta,Stahl,2901,Ecuador,-1.5833,-79.1833,distichous,5,3,52,24,64,27,7,3.5,41,17,61,5.6,7.6,11,1.5,32.1,17,11.1,3,none,6,4,20.6,37.7
88,B. succulenta,B. succulenta,Neill,8942,Ecuador,-0.03333,-78.83333,distichous,6,4,50,28,94,34,6,3,36,20,58,5.3,6.8,8.2,1.2,24.2,16,9.6,2.5,none,5.5,3,14.2,29.5
89,B. succulenta,B. succulenta,Jaramillo,13651,Ecuador,-0.23138,-78.80277,distichous,6.5,4.5,77.5,36.5,98,44.5,6,2.75,90,39,53.5,6.3,7.2,13.05,1.35,22.15,11,9.6,2.5,none,5.15,2.85,11.5,28.5
90,B. succulenta,B. succulenta,Harling,19211,Ecuador,-1.1419,-79.154752,distichous,10,6,70,39,155,57,8,3.5,107,32,131,8.7,4.5,10.5,1.4,35.7,16,8.9,3.5,none,7.2,4,25.6,44.4
91,B. succulenta,B. succulenta,Allart,479,Venezuela,10.394874,-67.285441,distichous,8,5,75,28,116,57,14,4.5,111,46,148,9.4,7.1,14.2,2.4,41.8,16,10.6,4,scroll,9.5,4,31.3,51.2
92,B. succulenta,B. succulenta,Fendler,731,Venezuela,10.376848,-67.298579,distichous,12,7,106,38,134,46,12,3,124,44,131,8.5,4.8,11.8,2.6,44.8,19,11.8,3,scroll,8.5,5,33.2,53.3
93,B. succulenta,B. succulenta,Luteyn,5177,Venezuela,10.339563,-67.704323,distichous,13,6,90,34,135,42,10,4,80,29,86,8.6,6.7,11.1,2.2,43.9,18,11.3,4.5,scroll,8.3,3,31,52.5
94,B. succulenta,B. succulenta,Mori,14602,Venezuela,10.25,-68.49166667,distichous,7,5,99,37,111,41,11,2.5,106,35,154,7.8,8.5,7.6,2.2,44.9,17,10.5,4,scroll,9,3.5,33.7,52.7
95,B. succulenta,B. succulenta,Steyermark,100250,Venezuela,10.20362,-68.5961,distichous,8,4,70,24,104,34,8,3,85,32,125,6.4,5.2,14,1.4,44.9,22,13.2,3,scroll,9.2,4,31,51.3
